Site,Longitude,Latitude,C14Age,C14Error,AgeCalBP,LabID,Database,Reference,Comment
Gesher,35.5511,32.62,10020,100,11537,Pta-4553,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
San Isidro,-76.242,3.4187,10030,60,11536,Beta-93275,,"Piperno, D.R., Pearsall, D.M., 1998. The Origins of Agriculture in the Lowland Neotropics. Academic Press Inc, San Diego.","Maranta cf. arundinacea, xanthosoma/Ipomoea/Manihot sp.?"
Ali Kosh,47.25,32.42,9950,190,11493,I-1419,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Asiab,47.15,34.3,9755,85,11162,GrN-6434,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Aswad,36.3818,33.5882,9730,120,11096,Gif-2633,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Qermez Dere,41.7936,36.3958,9710,85,11093,OxA-3755,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Chagha Sefid,49.6333,33.6667,9690,100,11030,UCLA-295,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Göbekli,38.9167,37.2167,9559,53,10921,Hd-20036,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Hotu,53.8989,35.8136,9500,200,10806,L-182,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Siches,-81.26,-4.49,9533,65,10790,BGS-2426,,"Piperno, D. R. (2011). The origins of plant cultivation and domestication in the New World tropics: patterns, process, and new developments. Current Anthropology, 52(S4), S453–S470.",Cucurbita sp.
Izriten (Tarfaya) Site 11/2,-12.2667,28,9450,160,10737,Gif-2908,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Chogha Golan,46.2925,33.380556,9425,45,10653,KIA-43836,,"Simone, Riehl, Zeidi Mohsen, and Conard Nicholas J. 2013. “Emergence of Agriculture in the Foothills of the Zagros Mountains of Iran.” Science 341 (6141): 65–67; Riehl, Simone, Marion Benz, Nicholas J Conard, Hojjat Darabi, Katleen Deckers, Hassan Fazeli Nashli, and Mohsen Zeidi-Kulehparcheh. 2012. “Plant Use in Three Pre-Pottery Neolithic Sites of the Northern and Eastern Fertile Crescent: A Preliminary Report.” Vegetation History and Archaeobotany 21 (2): 95–106.","Hordeum spontaneum, Triticum boeoticum, Triticum dicoccoides, Lens spp."
Tell el-Kerkh,36.4656,35.82,9350,90,10558,GrA-22277,,"Tanno, Ken-ichi, and George Willcox. 2012. “Distinguishing Wild and Domestic Wheat and Barley Spikelets from Early Holocene Sites in the Near East.” Vegetation History and Archaeobotany 21 (2): 107–15; Stordeur, D. 2003 Tell Aswad. Résultats préliminaires des campagnes 2001et 2003. Neo-Lithics 1, 2003, 7-15.","Cicer arietinum, Vicia cf. faba"
Tell Qarassa North,36.4125,32.8329,9340,50,10548,Beta-290929,,"Arranz-Otaegui, Amaia, Sue Colledge, Lydia Zapata, Luis Cesar Teira-Mayolini, and Juan José Ibáñez. 2016. “Regional Diversity on the Timing for the Initial Appearance of Cereal Cultivation and Domestication in Southwest Asia.” Proceedings of the National Academy of Sciences 113 (49): 14001 LP – 14006.","Triticum monococcum, Triticum dicoccum, Hordeum vulgare"
Horvat Galil,35.25,33.05,9340,70,10544,RT-1397,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Mezraa Teleilat,37.4167,38.4833,9324,59,10525,AA-49102,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Kissonerga-Mylouthkia,32.42,34.825,9315,60,10512,OxA-7460,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Parekklisha-Shillourokambos,33.1583,34.7458,9310,80,10500,Ly-290,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Paredones,-79.3037,-7.9146,9330,40,10484,Beta-343109,,"Dillehay, T. D., Goodbred, S., Pino, M., Sánchez, V. F. V., Tham, T. R., Adovasio, J., ... & Velchoff, N. (2017). Simple technologies and diverse food strategies of the Late Pleistocene and Early Holocene at Huaca Prieta, Coastal Peru. Science Advances, 3(5), e1602778; Grobman, A., Bonavia, D., Dillehay, T. D., Piperno, D. R., Iriarte, J., & Holst, I. (2012). Preceramic maize from Paredones and Huaca Prieta, Peru. Proceedings of the National Academy of Sciences, 109(5), 1755 LP – 1759.","Cucurbita sp., Capsicum spp."
Pinarbasi Site A,33.0333,37.4833,9290,80,10467,OxA-5500,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Ain Ghazal,36.1,32.0833,9200,110,10386,GrN-12966,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Isla Manechi,-66.1114,-13.7681,,,10372,,,"Lombardo, U., Iriarte, J., Hilbert, L., Ruiz-Pérez, J., Capriles, J. M., & Veit, H. (2020). Early Holocene crop cultivation and landscape modification in Amazonia. Nature, 581(7807), 190–193.",Manihot sp.
Peña Roja,-73.9626,0.8002,9160,90,10347,Beta-52963,,"Piperno, D.R., Pearsall, D.M., 1998. The Origins of Agriculture in the Lowland Neotropics. Academic Press Inc, San Diego.","Cucurbita sp., Lagenaria siceraria, Calathea allouia"
La Pochola,-75.6247,4.8878,9047,45,10192,LTL5436A,,"Aceituno, F.J., Loaiza, N., 2018. The origins and early development of plant food production and farming in Colombian tropical forests. Journal of Anthropological Archaeology 49, 161–172.","Zea mays, Manihot sp., xanthosoma sp., phaesolus sp., Dioscorea sp."
Kaletepe,34.57,38.28,9030,80,10187,GifA-100396,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Guila Naquitz,-96.308889,16.975278,8990,60,10150,Beta-100766,,"Smith, B. D. (1997). The Initial Domestication of Cucurbita pepo in the Americas 10,000 Years Ago. Science, 276 (5314), 932–934.",Cucurbita sp.
Ganj Dareh,47.833,38.833,8950,70,10053,SI-4741,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Cafer Höyük,38.78,38.46,8950,80,10048,Ly-4437,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Divshon,34.7833,30.8333,8900,180,9968,SMU-3,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Shangshan,120.05091,29.48525,,,9950,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Nahal Hemar,35.2939,31.1392,8850,90,9930,Pta-3625,,"Asouti, Eleni, and Dorian Q Fuller. 2013. “A Contextual Approach to the Emergence of Agriculture in Southwest Asia: Reconstructing Early Neolithic Plant-Food Production.” Current Anthropology 54 (3): 299–345; Pinhasi, Ron, Joaquim Fort, and Albert J Ammerman. 2005. “Tracing the Origin and Spread of Agriculture in Europe.” PLoS Biology 3 (12): e410.","Triticum dicoccum, Hordeum vulgare"
Forest island 575,-66.76,-14.17,8849,50,9858,BE-7633.1.1,,"Lombardo, U., Iriarte, J., Hilbert, L., Ruiz-Pérez, J., Capriles, J. M., & Veit, H. (2020). Early Holocene crop cultivation and landscape modification in Amazonia. Nature, 581(7807), 190–193.",Cucurbita sp.
Kaf Taht el Ghar,-5.431,35.4965,8765,176,9835,Rabat-66,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Hacilar Aceramic,30.08,37.58,8700,180,9769,BM-127,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Akarcay Tepe,38.0167,36.9167,8750,40,9730,Beta-138548,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Taghit Haddouch,-3.3396,34.7856,8726,53,9691,Bln-5044,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Mushki,52.75,29.85,8640,120,9666,TK-34,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Hatiet Um El Hiyus - Siwa 75/32,25.8304,29.2856,8570,110,9570,WSU-1674,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Aougni N'ait Ourigh Neolithic Site. C-1300 (Oukaïmeden),-7.8622,31.2056,8560,30,9534,CNA-1655,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Sabi Abyad II,40.5667,36.9333,8530,60,9511,GrN-21319,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Ayn Abu Nukhayla,35.4,29.55,8509,64,9502,,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Issaron,34.95,29.9167,8460,80,9466,Pta-2999,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Teotônio (RO-JP-01),-64.0611,-8.8655,8460,30,9460,Beta-474440,,"Watling, Jennifer, Myrtle P Shock, Guilherme Z Mongeló, Fernando O Almeida, Thiago Kater, Paulo E De Oliveira, and Eduardo G Neves. 2018. “Direct Archaeological Evidence for Southwestern Amazonia as an Early Plant Domestication and Food Production Centre.” PLoS One 13 (7): e0199868.",Calathea allouia?
Bouqras,40.4333,35.15,8380,45,9411,GrN-8262,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Jilat 7,36.4167,31.5,8390,80,9392,OxA-2413,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Guran,48.6667,33.5,8410,200,9367,K-1006,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Ras Shamra,35.75,35.5833,8364,101,9348,P-460,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Sitra 83/11 Nord,26.9283,28.7767,8320,90,9312,KN-4258,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Hayaz Höyük,37.95,37.4,8300,60,9304,GrN-12510,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Azraq 31,36.8167,31.8333,8275,80,9260,OxA-2412,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Chogha Bonut,48.505,32.222,8270,100,9250,Beta-104552,,"Asouti, Eleni, and Dorian Q Fuller. 2013. “A Contextual Approach to the Emergence of Agriculture in Southwest Asia: Reconstructing Early Neolithic Plant-Food Production.” Current Anthropology 54 (3): 299–345; Alizadeh, A. 2003. Excavations at the Prehistoric Mound of Chogha Bonut, Khuzestan, Iran: Seasons 1976/77, 1977/78, and 1996. Chicago: The Oriental Institute of the University of Chicago.","Triticum monococcum, Triticum dicoccum, Hordeum vulgare, Lens culinaris"
Suberde,31.95,37.34,8249,91,9226,P-1391,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Elateia,22.73,38.61,8240,110,9216,GrN-3039,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Hehuashan,112.41242,26.77432,8170,40,9136,Beta-363179,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza
Nea Nikomedeia,22.25,40.6,8180,150,9131,Q-655,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Piancada,13.0847,45.7867,8115,92,9056,OZB-653,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Cishan Hebei,114.203697,36.696506,9212,77,9030,GZ1979-1982,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Nine dates reported on millet grains have been dismissed. no flotation was Setaria and Panicum identified from phytoliths.
Pengtoushan,111.67344,29.68482,,,8950,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Jiahu I,113.667422,33.612831,8050,100,8945,BK-94126,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza
Knossos,25.16,35.51,8050,180,8934,BM-124,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Argissa PPN,22.47,39.63,8060,99,8932,BB,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Zhangmatun Shandong,117.116875,36.7185,8050,30,8900,BA10697,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Setaria, Panicum"
El Kowm 2,39.1667,38.85,8030,80,8880,Ly-4400,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Labwé,35.67,34.1167,7990,140,8849,K-1430,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Kef Hamda,9.4036,35.7595,7975,40,8847,Muse 561,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Franchthi Cave,23.13,37.43,7980,110,8832,P-2095,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Site 76/24,26.1694,29.8333,7960,140,8818,WSU-1694,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Huxi,119.6615055,23.5773682,7915,45,8791,BA30139,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza
Klein Denkte,10.6,52.15,7930,60,8780,UtC-1834,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Yumuktepe,34.567,36.783,7920,90,8772,Rome-467,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Grotta dell'Uzzo,12.4833,38.0167,7910,70,8757,P-2734,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Xihuatoxtla Shelter,-99.395378,18.374282,7920,40,8751,Beta-203459,,"Piperno, D. R., Ranere, A. J., Holst, I., Iriarte, J.; Dickau, R. (2009). Starch grain and phytolith evidence for early ninth millennium B.P. maize from the Central Balsas River Valley, Mexico. Proceedings of the National Academy of Sciences, 106 (13), 5019–5024.; Ranere, A. J., Piperno, D. R., Holst, I., Dickau, R.; Iriarte, J. (2009). The cultural and chronological context of early Holocene maize and squash domestication in the Central Balsas River Valley, Mexico. Proceedings of the National Academy of Sciences, 106 (13), 5014–5018.","Zea mays, Cucurbita sp."
Ulucak Höyük,27.3521,38.4668,7870,40,8671,Beta-317542,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Emmer
Peiligang Henan,113.656397,34.436425,7662,480,8630,ZK-0434,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Setaria
Çukuriçi Höyük,27.3594,37.9292,7851,29,8625,MAMS-24431,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Triticum sp.
Chemin de Kristel,0.4833,35.8067,7760,190,8599,ALG-40,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Cape - Andreas-Kastros,34.5833,35.7,7775,125,8586,MC-805,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Ash-Shumah,43.1028,14.2808,7770,95,8558,GX-13781,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Kyklopas Cave,24.16,39.36,7780,32,8558,DEM-636,Pinhasi et al. (2005),"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the origin and spread of agriculture in Europe. PLoS Biology, 3(12), e410.",Neolithic
Baligang,121.3950763,25.1155997,7790,45,8540,BAO-8129,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001",Oryza
